 ,Label,Area,%Area
1,01.jpg,53415559,0.07746
2,02.jpg,54693582,0.07945
3,03.jpg,52324368,0.05966
4,04.jpg,52528110,0.06321
5,05.jpg,51491964,0.10895
6,06.jpg,51051017,0.08670
7,07.jpg,44323266,0.19737
8,08.jpg,50908503,0.15292
9,09.jpg,51622118,0.17524
10,10.jpg,52827545,0.45878
11,11.jpg,50631342,0.44553
12,12.jpg,51567618,0.32197
13,13.jpg,50783472,0.35046
14,14.jpg,51479709,0.45850
15,15.jpg,51451357,0.61527
16,16.jpg,48568788,0.12165
17,17.jpg,51302743,0.17121
18,18.jpg,48467318,0.24489
19,19.jpg,46625844,0.14227
20,20.jpg,50863684,0.13784
21,21.jpg,53359050,0.13260
22,22.jpg,52847844,0.20536
23,23.jpg,52016046,0.35486
24,24.jpg,50860589,0.17154
25,25.jpg,50191566,0.11135
26,26.jpg,49913345,0.21816
27,27.jpg,49709673,0.11031
28,28.jpg,50541452,0.13491
29,29.jpg,52555814,0.02883
30,30.jpg,52904132,0.05280
31,31.jpg,51884193,0.04475
32,32.jpg,54120001,0.10375
33,33.jpg,51254640,0.14245
34,34.jpg,51026068,0.18120
35,35.jpg,51431020,0.19226
36,36.jpg,52433070,0.16449
37,37.jpg,52045562,0.15060
38,38.jpg,53231557,0.05815
39,39.jpg,50442822,0.08088
40,40.jpg,51116322,0.13917
41,41.jpg,47194487,0.17010
42,42.jpg,50489502,0.17779
43,43.jpg,54016642,0.07677
44,44.jpg,51319909,0.07153
45,45.jpg,53993333,0.14128
46,46.jpg,52742646,0.17123
47,47.jpg,51936126,0.20758
48,48.jpg,52591959,0.35026
