Label,Count,Area,AverageSize,PArea
01.jpg,288,28560,99.16667,0.05485
01.jpg,93,9509,102.24731,0.05535
01.jpg,103,8849,85.91262,0.04992
01.jpg,93,10198,109.65591,0.05941
02.jpg,277,27783,100.29964,0.05337
02.jpg,90,8435,93.72222,0.04911
02.jpg,91,9088,99.86813,0.05076
02.jpg,96,10257,106.84375,0.06040
03.jpg,280,32559,116.28214,0.06203
03.jpg,90,10463,116.25556,0.05954
03.jpg,89,13317,149.62921,0.07509
03.jpg,101,8769,86.82178,0.05104
04.jpg,326,30352,93.10429,0.05767
04.jpg,110,9624,87.49091,0.05558
04.jpg,114,12020,105.43860,0.06795
04.jpg,103,8708,84.54369,0.04942
05.jpg,310,43604,140.65806,0.08352
05.jpg,112,10504,93.78571,0.06039
05.jpg,93,23792,255.82796,0.13502
05.jpg,105,9304,88.60952,0.05414
06.jpg,288,31744,110.22222,0.06053
06.jpg,105,10157,96.73333,0.05838
06.jpg,93,8535,91.77419,0.04835
06.jpg,90,13007,144.52222,0.07477
07.jpg,538,49403,91.82714,0.09341
07.jpg,177,16064,90.75706,0.09232
07.jpg,203,19516,96.13793,0.10963
07.jpg,158,13830,87.53165,0.07822
08.jpg,217,19033,87.70968,0.03679
08.jpg,68,6031,88.69118,0.03526
08.jpg,83,7200,86.74699,0.04167
08.jpg,66,5752,87.15152,0.03316
09.jpg,302,29602,98.01987,0.05763
09.jpg,104,10181,97.89423,0.06056
09.jpg,86,8280,96.27907,0.04812
09.jpg,112,11104,99.14286,0.06401
10.jpg,287,25243,87.95470,0.05052
10.jpg,90,7746,86.06667,0.04615
10.jpg,95,8463,89.08421,0.04999
10.jpg,101,8954,88.65347,0.05514
11.jpg,316,29903,94.62975,0.05648
11.jpg,105,9850,93.80952,0.05555
11.jpg,116,11509,99.21552,0.06450
11.jpg,94,8474,90.14894,0.04880
12.jpg,368,34069,92.57880,0.06669
12.jpg,142,12579,88.58451,0.07586
12.jpg,103,8957,86.96117,0.05184
12.jpg,123,12533,101.89431,0.07274
13.jpg,232,23693,102.12500,0.04400
13.jpg,82,8721,106.35366,0.04867
13.jpg,77,6850,88.96104,0.03777
13.jpg,73,8128,111.34247,0.04567
14.jpg,252,33103,131.36111,0.06154
14.jpg,73,9734,133.34247,0.05440
14.jpg,91,12213,134.20879,0.06762
14.jpg,87,11109,127.68966,0.06231
15.jpg,244,31300,128.27869,0.06474
15.jpg,95,11040,116.21053,0.06475
15.jpg,78,11203,143.62821,0.07873
15.jpg,71,9046,127.40845,0.05301
16.jpg,257,26164,101.80545,0.05096
16.jpg,85,8708,102.44706,0.05051
16.jpg,91,9248,101.62637,0.05331
16.jpg,80,8100,101.25000,0.04836
17.jpg,240,24695,102.89583,0.04811
17.jpg,78,8418,107.92308,0.04846
17.jpg,86,8178,95.09302,0.04689
17.jpg,76,8062,106.07895,0.04879
18.jpg,295,37723,127.87458,0.07213
18.jpg,104,14001,134.62500,0.08167
18.jpg,94,10752,114.38298,0.06081
18.jpg,98,12954,132.18367,0.07414
19.jpg,304,31733,104.38487,0.06260
19.jpg,126,14685,116.54762,0.08897
19.jpg,93,9117,98.03226,0.05368
19.jpg,85,7945,93.47059,0.04619
20.jpg,292,28090,96.19863,0.05438
20.jpg,90,7731,85.90000,0.04590
20.jpg,90,9160,101.77778,0.05284
20.jpg,112,11183,99.84821,0.06395
21.jpg,230,22561,98.09130,0.04276
21.jpg,74,6469,87.41892,0.03735
21.jpg,82,9276,113.12195,0.05223
21.jpg,74,6799,91.87838,0.03842
22.jpg,230,19048,82.81739,0.03835
22.jpg,69,5529,80.13043,0.03274
22.jpg,80,6713,83.91250,0.03993
22.jpg,81,6806,84.02469,0.04261
23.jpg,298,28125,94.37919,0.05494
23.jpg,94,7778,82.74468,0.04607
23.jpg,91,8011,88.03297,0.04596
23.jpg,112,12272,109.57143,0.07279
24.jpg,340,34827,102.43235,0.06766
24.jpg,125,11842,94.73600,0.06897
24.jpg,110,11516,104.69091,0.06698
24.jpg,105,11432,108.87619,0.06682
25.jpg,131,13246,101.11450,0.02582
25.jpg,47,4912,104.51064,0.02868
25.jpg,38,3856,101.47368,0.02246
25.jpg,47,4458,94.85106,0.02621
26.jpg,124,12002,96.79032,0.02301
26.jpg,41,4202,102.48780,0.02435
26.jpg,40,3976,99.40000,0.02275
26.jpg,42,3748,89.23810,0.02151
27.jpg,115,12292,106.88696,0.02378
27.jpg,48,6230,129.79167,0.03634
27.jpg,41,3664,89.36585,0.02095
27.jpg,26,2398,92.23077,0.01406
28.jpg,153,15409,100.71242,0.02922
28.jpg,58,6825,117.67241,0.03890
28.jpg,54,4802,88.92593,0.02707
28.jpg,41,3782,92.24390,0.02167
29.jpg,149,14499,97.30872,0.03080
29.jpg,54,3870,71.66667,0.02426
29.jpg,52,4563,87.75000,0.03207
29.jpg,43,6066,141.06977,0.03590
30.jpg,186,14920,80.21505,0.03163
30.jpg,53,4671,88.13208,0.02811
30.jpg,71,5468,77.01408,0.03152
30.jpg,61,4726,77.47541,0.03579
31.jpg,183,14403,78.70492,0.02831
31.jpg,54,4789,88.68519,0.02808
31.jpg,59,4235,71.77966,0.02480
31.jpg,70,5379,76.84286,0.03213
32.jpg,189,16068,85.01587,0.03381
32.jpg,69,6838,99.10145,0.04185
32.jpg,65,4798,73.81538,0.02909
32.jpg,55,4432,80.58182,0.03016
33.jpg,146,14109,96.63699,0.03081
33.jpg,41,3333,81.29268,0.02453
33.jpg,51,4747,93.07843,0.03065
33.jpg,54,6029,111.64815,0.03606
34.jpg,173,15690,90.69364,0.03105
34.jpg,62,5865,94.59677,0.03506
34.jpg,50,4281,85.62000,0.02525
34.jpg,61,5544,90.88525,0.03293
35.jpg,159,13381,84.15723,0.02574
35.jpg,51,4230,82.94118,0.02452
35.jpg,52,4126,79.34615,0.02360
35.jpg,56,5033,89.87500,0.02918
36.jpg,191,17169,89.89005,0.03616
36.jpg,69,5742,83.21739,0.03837
36.jpg,60,5591,93.18333,0.03558
36.jpg,62,5836,94.12903,0.03475
37.jpg,110,9465,86.04545,0.01899
37.jpg,40,2858,71.45000,0.01720
37.jpg,28,2928,104.57143,0.01758
37.jpg,42,3687,87.78571,0.02223
38.jpg,159,15520,97.61006,0.03051
38.jpg,57,5389,94.54386,0.03154
38.jpg,48,4821,100.43750,0.02824
38.jpg,54,5310,98.33333,0.03177
39.jpg,155,15645,100.93548,0.03261
39.jpg,59,5461,92.55932,0.03210
39.jpg,47,6365,135.42553,0.03761
39.jpg,49,3839,78.34694,0.02733
40.jpg,168,14413,85.79167,0.02807
40.jpg,53,4679,88.28302,0.02749
40.jpg,51,3770,73.92157,0.02186
40.jpg,64,5964,93.18750,0.03492
41.jpg,224,18556,82.83929,0.03709
41.jpg,60,4313,71.88333,0.02582
41.jpg,58,6574,113.34483,0.03931
41.jpg,105,7617,72.54286,0.04591
42.jpg,262,21429,81.79008,0.04345
42.jpg,105,7896,75.20000,0.05079
42.jpg,77,6301,81.83117,0.03701
42.jpg,80,7206,90.07500,0.04304
43.jpg,146,10990,75.27397,0.02293
43.jpg,41,3027,73.82927,0.02012
43.jpg,55,4079,74.16364,0.02486
43.jpg,51,3889,76.25490,0.02360
44.jpg,232,23406,100.88793,0.04601
44.jpg,59,5595,94.83051,0.03282
44.jpg,80,11287,141.08750,0.06590
44.jpg,93,6510,70.00000,0.03899
45.jpg,418,43276,103.53110,0.08849
45.jpg,99,12961,130.91919,0.08181
45.jpg,122,11598,95.06557,0.07096
45.jpg,196,18694,95.37755,0.11182
46.jpg,127,22898,180.29921,0.04466
46.jpg,34,3993,117.44118,0.02349
46.jpg,43,11409,265.32558,0.06570
46.jpg,50,7496,149.92000,0.04432
47.jpg,217,18993,87.52535,0.03679
47.jpg,56,5171,92.33929,0.03016
47.jpg,80,6927,86.58750,0.03977
47.jpg,82,6947,84.71951,0.04072
48.jpg,209,25336,121.22488,0.05048
48.jpg,85,9439,111.04706,0.05735
48.jpg,64,7097,110.89062,0.04127
48.jpg,59,8733,148.01695,0.05286
