Slice,Count,Total Area,Average Size,PArea
01.jpg,3,1223,407.66667,0.00235
01.jpg,1,410,410.00000,0.00239
01.jpg,0,0,NaN,0.00000
01.jpg,2,813,406.50000,0.00474
02.jpg,6,3085,514.16667,0.00593
02.jpg,1,424,424.00000,0.00247
02.jpg,1,339,339.00000,0.00189
02.jpg,4,2322,580.50000,0.01367
03.jpg,7,6751,964.42857,0.01286
03.jpg,3,1573,524.33333,0.00895
03.jpg,4,5178,1294.50000,0.02920
03.jpg,0,0,NaN,0.00000
04.jpg,6,3971,661.83333,0.00754
04.jpg,2,964,482.00000,0.00557
04.jpg,2,2312,1156.00000,0.01307
04.jpg,1,356,356.00000,0.00202
05.jpg,8,18218,2277.25000,0.03490
05.jpg,2,787,393.50000,0.00452
05.jpg,4,16456,4114.00000,0.09339
05.jpg,2,975,487.50000,0.00567
06.jpg,7,6766,966.57143,0.01290
06.jpg,4,1592,398.00000,0.00915
06.jpg,0,0,NaN,0.00000
06.jpg,3,5174,1724.66667,0.02974
07.jpg,3,1366,455.33333,0.00258
07.jpg,1,753,753.00000,0.00433
07.jpg,2,613,306.50000,0.00344
07.jpg,0,0,NaN,0.00000
08.jpg,3,1120,373.33333,0.00217
08.jpg,0,0,NaN,0.00000
08.jpg,1,376,376.00000,0.00218
08.jpg,1,396,396.00000,0.00228
09.jpg,10,4270,427.00000,0.00831
09.jpg,5,1896,379.20000,0.01128
09.jpg,3,1339,446.33333,0.00778
09.jpg,2,1035,517.50000,0.00597
10.jpg,4,1720,430.00000,0.00344
10.jpg,2,711,355.50000,0.00424
10.jpg,1,427,427.00000,0.00252
10.jpg,1,582,582.00000,0.00358
11.jpg,3,1929,643.00000,0.00364
11.jpg,1,1174,1174.00000,0.00662
11.jpg,2,755,377.50000,0.00423
11.jpg,0,0,NaN,0.00000
12.jpg,3,1940,646.66667,0.00380
12.jpg,0,0,NaN,0.00000
12.jpg,1,337,337.00000,0.00195
12.jpg,2,1603,801.50000,0.00930
13.jpg,3,1575,525.00000,0.00292
13.jpg,1,324,324.00000,0.00181
13.jpg,0,0,NaN,0.00000
13.jpg,2,1251,625.50000,0.00703
14.jpg,15,8400,560.00000,0.01562
14.jpg,6,2850,475.00000,0.01593
14.jpg,5,3313,662.60000,0.01834
14.jpg,4,2237,559.25000,0.01255
15.jpg,12,8022,668.50000,0.01659
15.jpg,2,1089,544.50000,0.00639
15.jpg,8,4772,596.50000,0.03353
15.jpg,2,2161,1080.50000,0.01266
16.jpg,5,2236,447.20000,0.00436
16.jpg,1,323,323.00000,0.00187
16.jpg,3,1483,494.33333,0.00855
16.jpg,1,430,430.00000,0.00257
17.jpg,6,2164,360.66667,0.00422
17.jpg,3,1165,388.33333,0.00671
17.jpg,2,664,332.00000,0.00381
17.jpg,1,335,335.00000,0.00203
18.jpg,16,9308,581.75000,0.01780
