num ,Label,Area,PArea
1,01.jpg:4404-3540,48484182,0.07789
2,01.jpg:1764-3540,15292343,0.08142
3,01.jpg:4404-3532,16630651,0.07637
4,01.jpg:7044-3524,16550203,0.07620
5,02.jpg:4368-3594,50208174,0.06109
6,02.jpg:1688-3618,16714884,0.06262
7,02.jpg:4368-3593,17036083,0.05779
8,02.jpg:7048-3570,16457645,0.06295
9,03.jpg:4422-3696,51284378,0.07677
10,03.jpg:1658-3690,17742058,0.06892
11,03.jpg:4422-3696,17079444,0.08451
12,03.jpg:7186-3696,16466320,0.07720
13,04.jpg:4422-3606,51753889,0.08462
14,04.jpg:1722-3638,16901984,0.11442
15,04.jpg:4422-3622,17361362,0.06799
16,04.jpg:7122-3606,17477227,0.07228
17,05.jpg:4398-3432,48502928,0.07383
18,05.jpg:1698-3478,16136299,0.07001
19,05.jpg:4398-3434,16569655,0.06127
20,05.jpg:7098-3392,15789893,0.09078
21,06.jpg:4470-3642,51701846,0.06334
22,06.jpg:1754-3689,16957559,0.06522
23,06.jpg:4470-3665,17632793,0.07218
24,06.jpg:7186-3642,17122117,0.05234
25,07.jpg:4434-3588,50918768,0.10375
26,07.jpg:1718-3604,16724226,0.10850
27,07.jpg:4434-3588,17237817,0.10273
28,07.jpg:7150-3572,16956357,0.10010
29,08.jpg:4374-3648,51478952,0.09849
30,08.jpg:1682-3676,17135357,0.10586
31,08.jpg:4374-3642,17299550,0.08851
32,08.jpg:7066-3608,17039775,0.10130
33,09.jpg:4380-3696,49986739,0.09948
34,09.jpg:1684-3731,16297690,0.09863
35,09.jpg:4380-3713,16937117,0.10594
36,09.jpg:7076-3696,16747493,0.09386
37,10.jpg:4398-3606,50778723,0.13426
38,10.jpg:1738-3602,16914889,0.12335
39,10.jpg:4398-3606,17045655,0.12041
40,10.jpg:7058-3610,16818167,0.15924
41,11.jpg:4314-3744,48615433,0.12607
42,11.jpg:1622-3752,16336010,0.10118
43,11.jpg:4314-3652,15947296,0.13193
44,11.jpg:7006-3634,16335655,0.14521
45,12.jpg:4374-3612,47635392,0.12662
46,12.jpg:1794-3672,16251726,0.13845
47,12.jpg:4374-3597,16293073,0.11860
48,12.jpg:6954-3521,15091749,0.12251
49,13.jpg:4374-3762,50767655,0.08123
50,13.jpg:1682-3762,17569146,0.08911
51,13.jpg:4374-3770,17145571,0.07706
52,13.jpg:7066-3850,16063763,0.07707
53,14.jpg:4566-3708,52147230,0.08059
54,14.jpg:1850-3763,17570663,0.05498
55,14.jpg:4566-3717,17577525,0.11206
56,14.jpg:7282-3664,17003172,0.07455
57,15.jpg:4548-3636,51227142,0.07504
58,15.jpg:1820-3627,16664163,0.05848
59,15.jpg:4548-3597,17423747,0.06730
60,15.jpg:7276-3636,17130420,0.09843
61,16.jpg:4398-3576,48867993,0.08691
62,16.jpg:1754-3576,16721181,0.08013
63,16.jpg:4398-3545,17155933,0.10236
64,16.jpg:7042-3533,14998535,0.07676
65,17.jpg:4416-3828,52492501,0.08248
66,17.jpg:1720-3861,17240517,0.08222
67,17.jpg:4416-3835,17970657,0.07843
68,17.jpg:7112-3808,17281893,0.08687
69,18.jpg:4338-3882,48237119,0.11834
70,18.jpg:1678-3822,15966742,0.08648
71,18.jpg:4338-3866,16414249,0.09855
72,18.jpg:6998-3894,15868355,0.17160
73,19.jpg:4440-3648,50392304,0.10090
74,19.jpg:1736-3636,16840437,0.07796
75,19.jpg:4440-3668,16679460,0.10252
76,19.jpg:7144-3700,16858358,0.12203
77,20.jpg:4662-3882,50196547,0.10010
78,20.jpg:1970-3918,16677788,0.09040
79,20.jpg:4662-3880,17102392,0.09851
80,20.jpg:7354-3839,16422016,0.11161
81,21.jpg:4434-3732,51833051,0.08213
82,21.jpg:1670-3776,16945270,0.07950
83,21.jpg:4434-3742,17320451,0.08279
84,21.jpg:7198-3689,17563448,0.08419
85,22.jpg:4476-3768,50795332,0.12783
86,22.jpg:1820-3785,17140005,0.13223
87,22.jpg:4476-3780,17103074,0.10831
88,22.jpg:7132-3730,16554624,0.14357
89,23.jpg:4428-3582,48703824,0.09190
90,23.jpg:1804-3668,16621088,0.09179
91,23.jpg:4428-3615,17017542,0.08764
92,23.jpg:7052-3567,15062858,0.09674
93,24.jpg:4368-3726,50241144,0.09323
94,24.jpg:1696-3750,16843350,0.08241
95,24.jpg:4368-3698,16922729,0.07874
96,24.jpg:7040-3643,16472280,0.11924
97,25.jpg:4278-3564,49746661,0.04248
98,25.jpg:1586-3600,16463923,0.03364
99,25.jpg:4278-3568,16619173,0.03778
100,25.jpg:6970-3536,16659259,0.05589
101,26.jpg:4466-3642,51810952,0.08808
102,26.jpg:1782-3642,17086716,0.08525
103,26.jpg:4466-3597,17556165,0.10171
104,26.jpg:7150-3542,17167584,0.07683
105,27.jpg:4368-3810,50976656,0.05057
106,27.jpg:1696-3810,16910347,0.05726
107,27.jpg:4368-3800,17141337,0.04926
108,27.jpg:7040-3790,16933502,0.04519
109,28.jpg:4392-3936,52670805,0.05698
110,28.jpg:1648-3936,17310641,0.06021
111,28.jpg:4392-3920,17784694,0.05935
112,28.jpg:7136-3904,17577260,0.05136
113,29.jpg:4356-3678,51314809,0.05244
114,29.jpg:1700-3678,16845232,0.05276
115,29.jpg:4356-3652,17382837,0.05597
116,29.jpg:7012-3623,17093056,0.04851
117,30.jpg:4332-3642,49723319,0.08241
118,30.jpg:1684-3646,16233799,0.07110
119,30.jpg:4332-3640,16822567,0.07970
120,30.jpg:6980-3634,16676291,0.09612
121,31.jpg:4518-3714,52333337,0.08223
122,31.jpg:1810-3714,17430105,0.08341
123,31.jpg:4518-3681,17661378,0.08251
124,31.jpg:7226-3641,17255971,0.08070
125,32.jpg:4236-3654,51403206,0.06397
126,32.jpg:1532-3678,16921424,0.06400
127,32.jpg:4236-3662,17424021,0.06410
128,32.jpg:6940-3646,17055037,0.06383
129,33.jpg:4290-3786,52874381,0.08459
130,33.jpg:1526-3773,17515589,0.09337
131,33.jpg:4290-3793,17977458,0.07334
132,33.jpg:7054-3786,17384447,0.08735
133,34.jpg:4416-4008,52889357,0.17536
134,34.jpg:1600-3988,16162783,0.18374
135,34.jpg:4416-4011,18503705,0.18271
136,34.jpg:7232-4041,18226320,0.16035
137,35.jpg:4392-3966,53261066,0.07139
138,35.jpg:1656-3966,17544155,0.08984
139,35.jpg:4392-3956,17985958,0.05750
140,35.jpg:7128-3946,17742393,0.06718
141,36.jpg:4266-3702,51810794,0.14251
142,36.jpg:1566-3702,17551764,0.15019
143,36.jpg:4266-3679,17777575,0.13448
144,36.jpg:6966-3654,16462372,0.14274
145,37.jpg:4314-3648,49426611,0.16170
146,37.jpg:1702-3660,15653970,0.10427
147,37.jpg:4314-3643,16892250,0.13729
148,37.jpg:6926-3625,16880182,0.23954
149,38.jpg:4398-3660,47208143,0.21085
150,38.jpg:1706-3689,17061054,0.17705
151,38.jpg:4398-3660,16397782,0.21108
152,38.jpg:7090-3270,13750027,0.25244
153,39.jpg:4272-3744,51649843,0.15165
154,39.jpg:1576-3756,17300030,0.15292
155,39.jpg:4272-3707,17392084,0.15340
156,39.jpg:6968-3656,16955560,0.14868
157,40.jpg:4326-3750,50514562,0.15977
158,40.jpg:1666-3750,16698891,0.15897
159,40.jpg:4326-3726,16984667,0.16797
160,40.jpg:6986-3702,16835008,0.15234
161,41.jpg:4344-3684,49314518,0.09578
162,41.jpg:1696-3752,16081637,0.12542
163,41.jpg:4344-3704,16717469,0.07797
164,41.jpg:6992-3656,16506332,0.08488
165,42.jpg:4380-3774,50067013,0.14051
166,42.jpg:1756-3741,16387913,0.13262
167,42.jpg:4380-3761,16787447,0.11551
168,42.jpg:7004-3782,16889576,0.17307
169,43.jpg:4332-3654,51972191,0.13924
170,43.jpg:1636-3654,17419609,0.10415
171,43.jpg:4332-3646,17959329,0.15346
172,43.jpg:7028-3638,16599937,0.16068
173,44.jpg:4410-3666,48300242,0.16212
174,44.jpg:1766-3730,16118936,0.15630
175,44.jpg:4410-3686,16411458,0.17440
176,44.jpg:7054-3642,15763007,0.15547
177,45.jpg:4338-3936,52130082,0.10775
178,45.jpg:1606-3973,17290329,0.10232
179,45.jpg:4338-3912,17662987,0.09861
180,45.jpg:7070-3849,17176285,0.12279
181,46.jpg:4404-3642,49781586,0.12214
182,46.jpg:1716-3659,17154628,0.12342
183,46.jpg:4404-3638,17259179,0.11928
184,46.jpg:7092-3626,15364364,0.12411
185,47.jpg:4302-3726,49132144,0.11496
186,47.jpg:1658-3726,16189507,0.10936
187,47.jpg:4302-3753,16114376,0.11714
188,47.jpg:6946-3727,16819925,0.11825
189,48.jpg:4434-3696,52923433,0.12683
190,48.jpg:1678-3696,17694656,0.14884
191,48.jpg:4434-3672,17909480,0.11172
192,48.jpg:7190-3642,17325081,0.11996
