num,Label,Area,PArea
1,01.jpg:4554-3666,53099723,0.10408
2,01.jpg:1798-3715,17744481,0.10341
3,01.jpg:4554-3656,17734163,0.07960
4,01.jpg:7310-3597,17624661,0.12963
5,02.jpg:4512-3702,52145432,0.09306
6,02.jpg:1768-3696,17310267,0.07738
7,02.jpg:4512-3722,17537305,0.08980
8,02.jpg:7256-3697,17275483,0.11216
9,03.jpg:4542-3690,53159594,0.09738
10,03.jpg:1746-3729,17727008,0.10303
11,03.jpg:4542-3658,17885102,0.08840
12,03.jpg:7338-3586,17557157,0.10079
13,04.jpg:4584-3660,53412503,0.12066
14,04.jpg:1784-3671,17879658,0.11874
15,04.jpg:4584-3644,17971838,0.11505
16,04.jpg:7384-3613,17561695,0.12836
17,05.jpg:4566-3726,51751356,0.10066
18,05.jpg:1834-3734,17252768,0.10233
19,05.jpg:4566-3716,17184130,0.10511
20,05.jpg:7298-3698,17303774,0.09459
21,06.jpg:4608-3654,53092380,0.09227
22,06.jpg:1824-3689,17649815,0.08849
23,06.jpg:4608-3662,17774390,0.09302
24,06.jpg:7392-3634,17668796,0.09540
25,07.jpg:4758-3768,51981840,0.12162
26,07.jpg:1994-3820,17503062,0.11075
27,07.jpg:4758-3744,17413256,0.12001
28,07.jpg:7522-3668,17061020,0.13439
29,08.jpg:4488-3804,53296635,0.12195
30,08.jpg:1712-3820,17768717,0.12533
31,08.jpg:4488-3786,17905337,0.11137
32,08.jpg:7264-3752,17615955,0.12917
33,09.jpg:4506-3738,51371490,0.13186
34,09.jpg:1750-3754,17153294,0.11363
35,09.jpg:4506-3701,17249494,0.11867
36,09.jpg:7262-3646,16965619,0.16327
37,10.jpg:4602-3696,51704232,0.16213
38,10.jpg:1870-3712,17387811,0.13842
39,10.jpg:4602-3674,17186674,0.16564
40,10.jpg:7334-3634,17132299,0.18256
41,11.jpg:4500-3594,51895626,0.18044
42,11.jpg:1740-3657,17304748,0.17136
43,11.jpg:4500-3548,17463965,0.18475
44,11.jpg:7260-3435,17121353,0.18537
45,12.jpg:4560-3642,52059948,0.14716
46,12.jpg:1768-3685,17335596,0.13347
47,12.jpg:4560-3626,17630447,0.15441
48,12.jpg:7352-3567,17092300,0.15357
49,13.jpg:4692-3876,51677125,0.11222
50,13.jpg:1916-3920,17459852,0.09859
51,13.jpg:4692-3840,17049668,0.11567
52,13.jpg:7468-3803,17170975,0.12265
53,14.jpg:4560-3834,49788382,0.10409
54,14.jpg:1744-3869,17277799,0.08690
55,14.jpg:4560-3829,16417123,0.08202
56,14.jpg:7376-3789,16088299,0.14499
57,15.jpg:4542-3594,51173950,0.18258
58,15.jpg:1730-3594,17943407,0.18976
59,15.jpg:4542-3576,16970679,0.16212
60,15.jpg:7354-3558,16237841,0.19626
61,16.jpg:4524-3672,52524865,0.11202
62,16.jpg:1724-3672,17469066,0.10980
63,16.jpg:4524-3621,17747073,0.11360
64,16.jpg:7324-3568,17280163,0.11264
65,17.jpg:4578-3618,45029929,0.15444
66,17.jpg:1766-3618,16294606,0.13299
67,17.jpg:4578-3094,14321257,0.12658
68,17.jpg:7390-3390,14402972,0.20646
69,18.jpg:4500-3726,50240708,0.19349
70,18.jpg:1732-3726,17493157,0.17135
71,18.jpg:4500-3650,16987520,0.17652
72,18.jpg:7268-3574,15737047,0.23600
73,19.jpg:4698-3654,47990073,0.18323
74,19.jpg:1878-3678,17365162,0.13662
75,19.jpg:4698-3564,16546551,0.16406
76,19.jpg:7518-3451,14092994,0.26285
77,20.jpg:4578-3720,50144592,0.24822
78,20.jpg:1806-3720,16792079,0.18816
79,20.jpg:4578-3683,16956836,0.24094
80,20.jpg:7350-3644,16364814,0.31717
81,21.jpg:4548-3786,49779921,0.15978
82,21.jpg:1820-3786,17393305,0.12161
83,21.jpg:4548-3760,16952398,0.16811
84,21.jpg:7276-3734,15429012,0.19369
85,22.jpg:4650-3750,50872596,0.17133
86,22.jpg:1854-3750,17818389,0.14521
87,22.jpg:4650-3751,17016551,0.15400
88,22.jpg:7446-3753,16053311,0.21864
89,23.jpg:4482-3846,50855765,0.20098
90,23.jpg:1758-3878,16935281,0.18934
91,23.jpg:4482-3818,17168352,0.18419
92,23.jpg:7206-3723,16757037,0.22989
93,24.jpg:4392-3696,48724577,0.18000
94,24.jpg:1616-3713,17727726,0.15263
95,24.jpg:4392-3673,16819051,0.16461
96,24.jpg:7168-3921,14175533,0.23253
97,25.jpg:4548-3840,52079835,0.09746
98,25.jpg:1724-3864,17552549,0.08040
99,25.jpg:4548-3802,17644961,0.09326
100,25.jpg:7372-3741,16880073,0.11947
101,26.jpg:4578-3912,53556024,0.08493
102,26.jpg:1766-3927,17009555,0.07980
103,26.jpg:4578-3908,18322990,0.09468
104,26.jpg:7390-3888,18225805,0.07988
105,27.jpg:4584-3720,49430800,0.09966
106,27.jpg:1824-3739,17251981,0.09401
107,27.jpg:4584-3724,17537550,0.09432
108,27.jpg:7344-3708,14642495,0.11251
109,28.jpg:4668-3786,52113277,0.12735
110,28.jpg:1852-3842,18004031,0.15787
111,28.jpg:4668-3799,15891609,0.11386
112,28.jpg:7484-3755,18224151,0.10890
113,29.jpg:4656-3726,52205951,0.09956
114,29.jpg:1920-3767,17173437,0.12618
115,29.jpg:4656-3746,17366647,0.08192
116,29.jpg:7392-3726,17691249,0.09107
117,30.jpg:4560-3750,54180738,0.09501
118,30.jpg:1720-3804,18031348,0.09236
