Slice,Count,Total Area,Average Size,PArea
01.jpg,105,22822,217.35238,0.04298
02.jpg,111,18255,164.45946,0.03501
03.jpg,105,24833,236.50476,0.04671
04.jpg,121,19815,163.76033,0.03710
05.jpg,74,12630,170.67568,0.02441
06.jpg,81,12145,149.93827,0.02288
07.jpg,88,13256,150.63636,0.02550
08.jpg,85,14287,168.08235,0.02681
09.jpg,120,20284,169.03333,0.03948
10.jpg,141,22908,162.46809,0.04431
11.jpg,160,24735,154.59375,0.04766
12.jpg,128,20918,163.42188,0.04018
13.jpg,146,26256,179.83562,0.05081
14.jpg,127,26617,209.58268,0.05346
15.jpg,174,55366,318.19540,0.10819
16.jpg,142,26730,188.23944,0.05089
17.jpg,108,19574,181.24074,0.04347
18.jpg,137,29810,217.59124,0.05933
19.jpg,134,23504,175.40299,0.04898
20.jpg,151,35482,234.98013,0.07076
21.jpg,151,30969,205.09272,0.06221
22.jpg,137,24662,180.01460,0.04848
23.jpg,209,32098,153.57895,0.06312
24.jpg,143,24799,173.41958,0.05090
25.jpg,68,15450,227.20588,0.02967
26.jpg,46,8391,182.41304,0.01567
27.jpg,55,9516,173.01818,0.01925
28.jpg,79,11884,150.43038,0.02280
29.jpg,51,9646,189.13725,0.01848
30.jpg,70,10029,143.27143,0.01851
31.jpg,66,9624,145.81818,0.01788
32.jpg,56,9949,177.66071,0.01887
33.jpg,163,27712,170.01227,0.05411
34.jpg,164,31114,189.71951,0.06069
35.jpg,99,21753,219.72727,0.04558
36.jpg,183,31506,172.16393,0.06151
37.jpg,19,4102,215.89474,0.00778
38.jpg,66,12487,189.19697,0.02450
39.jpg,53,13341,251.71698,0.02528
40.jpg,72,12546,174.25000,0.02335
41.jpg,57,12442,218.28070,0.02414
42.jpg,67,13356,199.34328,0.02487
43.jpg,27,13064,483.85185,0.02576
44.jpg,96,16357,170.38542,0.03587
45.jpg,51,14330,280.98039,0.02716
46.jpg,87,28563,328.31034,0.08496
47.jpg,52,9868,189.76923,0.01881
48.jpg,81,14350,177.16049,0.02730
