Slice,Count,Total Area,Average Size,%Area
01.jpg,105,22822,217.35238,0.04298
01.jpg,36,6995,194.30556,0.03942
01.jpg,28,4148,148.14286,0.02339
01.jpg,41,11680,284.87805,0.06627
02.jpg,111,18255,164.45946,0.03501
02.jpg,27,4254,157.55556,0.02458
02.jpg,35,5283,150.94286,0.03012
02.jpg,47,8397,178.65957,0.04861
03.jpg,105,24833,236.50476,0.04671
03.jpg,30,9318,310.60000,0.05256
03.jpg,33,6718,203.57576,0.03756
03.jpg,42,8744,208.19048,0.04980
04.jpg,121,19815,163.76033,0.03710
04.jpg,32,4953,154.78125,0.02770
04.jpg,42,7084,168.66667,0.03942
04.jpg,46,7652,166.34783,0.04357
05.jpg,74,12630,170.67568,0.02441
05.jpg,30,4843,161.43333,0.02807
05.jpg,35,5988,171.08571,0.03485
05.jpg,9,1781,197.88889,0.01029
06.jpg,81,12145,149.93827,0.02288
06.jpg,25,3897,155.88000,0.02208
06.jpg,26,4198,161.46154,0.02362
06.jpg,29,3950,136.20690,0.02236
07.jpg,88,13256,150.63636,0.02550
07.jpg,30,4249,141.63333,0.02428
07.jpg,30,4808,160.26667,0.02761
07.jpg,28,4199,149.96429,0.02461
08.jpg,85,14287,168.08235,0.02681
08.jpg,30,4914,163.80000,0.02766
08.jpg,24,4000,166.66667,0.02234
08.jpg,31,5373,173.32258,0.03050
09.jpg,120,20284,169.03333,0.03948
09.jpg,24,3611,150.45833,0.02105
09.jpg,37,5974,161.45946,0.03463
09.jpg,59,10699,181.33898,0.06306
10.jpg,141,22908,162.46809,0.04431
10.jpg,25,3969,158.76000,0.02283
10.jpg,56,9646,172.25000,0.05612
10.jpg,60,9293,154.88333,0.05424
11.jpg,160,24735,154.59375,0.04766
11.jpg,46,6680,145.21739,0.03860
11.jpg,53,8861,167.18868,0.05074
11.jpg,60,9093,151.55000,0.05311
12.jpg,128,20918,163.42188,0.04018
12.jpg,36,5086,141.27778,0.02934
12.jpg,54,8752,162.07407,0.04964
12.jpg,38,7075,186.18421,0.04139
13.jpg,146,26256,179.83562,0.05081
13.jpg,51,8507,166.80392,0.04872
13.jpg,50,9413,188.26000,0.05521
13.jpg,45,8336,185.24444,0.04855
14.jpg,127,26617,209.58268,0.05346
14.jpg,37,6948,187.78378,0.04021
14.jpg,32,6100,190.62500,0.03716
14.jpg,56,13353,238.44643,0.08300
15.jpg,174,55366,318.19540,0.10819
15.jpg,57,16863,295.84211,0.09398
15.jpg,60,15023,250.38333,0.08852
15.jpg,58,23480,404.82759,0.14460
16.jpg,142,26730,188.23944,0.05089
16.jpg,46,7596,165.13043,0.04348
16.jpg,48,9332,194.41667,0.05258
16.jpg,48,9802,204.20833,0.05672
17.jpg,108,19574,181.24074,0.04347
17.jpg,39,7760,198.97436,0.04762
17.jpg,31,5277,170.22581,0.03685
17.jpg,38,6518,171.52632,0.04525
18.jpg,137,29810,217.59124,0.05933
18.jpg,52,11493,221.01923,0.06570
18.jpg,45,9546,212.13333,0.05619
18.jpg,41,8768,213.85366,0.05572
19.jpg,134,23504,175.40299,0.04898
19.jpg,38,5900,155.26316,0.03398
19.jpg,46,6964,151.39130,0.04209
19.jpg,50,10640,212.80000,0.07550
20.jpg,151,35482,234.98013,0.07076
20.jpg,38,13970,367.63158,0.08319
20.jpg,60,11116,185.26667,0.06555
20.jpg,53,10375,195.75472,0.06340
21.jpg,151,30969,205.09272,0.06221
21.jpg,43,6948,161.58140,0.03995
21.jpg,52,10350,199.03846,0.06105
21.jpg,57,13671,239.84211,0.08861
22.jpg,137,24662,180.01460,0.04848
22.jpg,44,7261,165.02273,0.04075
22.jpg,33,6185,187.42424,0.03635
22.jpg,60,11220,187.00000,0.06989
23.jpg,209,32098,153.57895,0.06312
23.jpg,55,8930,162.36364,0.05273
23.jpg,63,9216,146.28571,0.05368
23.jpg,90,13840,153.77778,0.08259
24.jpg,143,24799,173.41958,0.05090
24.jpg,41,7604,185.46341,0.04289
24.jpg,42,7326,174.42857,0.04356
24.jpg,59,9764,165.49153,0.06888
25.jpg,68,15450,227.20588,0.02967
25.jpg,18,3860,214.44444,0.02199
25.jpg,23,4468,194.26087,0.02532
25.jpg,27,7122,263.77778,0.04219
26.jpg,46,8391,182.41304,0.01567
26.jpg,14,2104,150.28571,0.01237
26.jpg,16,3888,243.00000,0.02122
26.jpg,16,2399,149.93750,0.01316
27.jpg,55,9516,173.01818,0.01925
27.jpg,21,3438,163.71429,0.01993
27.jpg,15,2143,142.86667,0.01222
27.jpg,19,3935,207.10526,0.02687
28.jpg,79,11884,150.43038,0.02280
28.jpg,18,3079,171.05556,0.01710
28.jpg,27,3894,144.22222,0.02450
28.jpg,34,4911,144.44118,0.02695
29.jpg,51,9646,189.13725,0.01848
29.jpg,22,3988,181.27273,0.02322
29.jpg,12,1755,146.25000,0.01011
29.jpg,17,3903,229.58824,0.02206
30.jpg,70,10029,143.27143,0.01851
30.jpg,22,2653,120.59091,0.01471
30.jpg,22,3103,141.04545,0.01714
30.jpg,26,4273,164.34615,0.02368
31.jpg,66,9624,145.81818,0.01788
31.jpg,26,3571,137.34615,0.01986
31.jpg,18,2697,149.83333,0.01496
31.jpg,22,3356,152.54545,0.01882
32.jpg,56,9949,177.66071,0.01887
32.jpg,16,4231,264.43750,0.02407
32.jpg,16,2152,134.50000,0.01220
32.jpg,24,3566,148.58333,0.02038
33.jpg,163,27712,170.01227,0.05411
33.jpg,61,10768,176.52459,0.06316
33.jpg,50,8575,171.50000,0.05012
33.jpg,52,8362,160.80769,0.04903
34.jpg,164,31114,189.71951,0.06069
34.jpg,54,10869,201.27778,0.06335
34.jpg,57,11982,210.21053,0.06929
34.jpg,53,8228,155.24528,0.04895
35.jpg,99,21753,219.72727,0.04558
35.jpg,27,6302,233.40741,0.03695
35.jpg,37,6692,180.86486,0.04013
35.jpg,35,8759,250.25714,0.06257
36.jpg,183,31506,172.16393,0.06151
36.jpg,73,12622,172.90411,0.07357
36.jpg,54,9501,175.94444,0.05580
36.jpg,56,9383,167.55357,0.05508
37.jpg,19,4102,215.89474,0.00778
37.jpg,5,996,199.20000,0.00557
37.jpg,7,1643,234.71429,0.00922
37.jpg,7,1463,209.00000,0.00864
38.jpg,66,12487,189.19697,0.02450
38.jpg,16,2612,163.25000,0.01543
38.jpg,26,5582,214.69231,0.03238
38.jpg,23,4138,179.91304,0.02459
39.jpg,53,13341,251.71698,0.02528
39.jpg,14,3492,249.42857,0.01989
39.jpg,22,6297,286.22727,0.03522
39.jpg,17,3552,208.94118,0.02045
40.jpg,72,12546,174.25000,0.02335
40.jpg,23,4707,204.65217,0.02667
40.jpg,23,3595,156.30435,0.01987
40.jpg,26,4244,163.23077,0.02356
41.jpg,57,12442,218.28070,0.02414
41.jpg,19,6351,334.26316,0.03710
41.jpg,19,3002,158.00000,0.01743
41.jpg,19,3089,162.57895,0.01795
42.jpg,67,13356,199.34328,0.02487
42.jpg,23,4429,192.56522,0.02484
42.jpg,17,2573,151.35294,0.01432
42.jpg,27,6354,235.33333,0.03546
43.jpg,27,13064,483.85185,0.02576
43.jpg,8,3064,383.00000,0.01960
43.jpg,9,2244,249.33333,0.01282
43.jpg,10,7756,775.60000,0.04413
44.jpg,96,16357,170.38542,0.03587
44.jpg,26,4614,177.46154,0.03371
44.jpg,26,5227,201.03846,0.03257
44.jpg,44,6522,148.22727,0.04109
45.jpg,51,14330,280.98039,0.02716
45.jpg,26,8857,340.65385,0.05052
45.jpg,16,4103,256.43750,0.02295
45.jpg,9,1334,148.22222,0.00769
46.jpg,87,28563,328.31034,0.08496
46.jpg,31,10023,323.32258,0.13956
