Label,Count,Area,Average Size,PArea
01.jpg,348,54647,157.03161,0.10880
01.jpg,133,21869,164.42857,0.13122
01.jpg,117,18513,158.23077,0.10879
01.jpg,99,14297,144.41414,0.08646
02.jpg,377,62215,165.02653,0.15070
02.jpg,114,16322,143.17544,0.15076
02.jpg,134,26247,195.87313,0.16228
02.jpg,130,19646,151.12308,0.13756
03.jpg,335,65964,196.90746,0.13427
03.jpg,101,21526,213.12871,0.12992
03.jpg,96,18830,196.14583,0.12026
03.jpg,138,25748,186.57971,0.15225
04.jpg,487,79313,162.86037,0.15512
04.jpg,153,25573,167.14379,0.14587
04.jpg,153,26425,172.71242,0.15775
04.jpg,182,27317,150.09341,0.16210
05.jpg,322,34422,106.90062,0.06905
05.jpg,118,13836,117.25424,0.08578
05.jpg,95,9360,98.52632,0.05643
05.jpg,109,11226,102.99083,0.06549
06.jpg,209,25452,121.77990,0.05046
06.jpg,72,10471,145.43056,0.06639
06.jpg,63,7379,117.12698,0.04301
06.jpg,75,7662,102.16000,0.04374
07.jpg,269,28026,104.18587,0.05892
07.jpg,80,7901,98.76250,0.05527
07.jpg,91,8816,96.87912,0.05187
07.jpg,99,11361,114.75758,0.06979
08.jpg,324,33663,103.89815,0.06440
08.jpg,120,11285,94.04167,0.06418
08.jpg,106,12568,118.56604,0.07069
08.jpg,97,9755,100.56701,0.05768
09.jpg,478,59813,125.13180,0.11527
09.jpg,168,19447,115.75595,0.11371
09.jpg,141,16847,119.48227,0.09609
09.jpg,168,23460,139.64286,0.13591
10.jpg,541,88600,163.77079,0.21227
10.jpg,134,19142,142.85075,0.15124
10.jpg,149,24680,165.63758,0.20058
10.jpg,258,44764,173.50388,0.26671
11.jpg,706,110235,156.14023,0.20764
11.jpg,219,25403,115.99543,0.14474
11.jpg,191,28156,147.41361,0.15818
11.jpg,296,56639,191.34797,0.31919
12.jpg,648,90786,140.10185,0.17367
12.jpg,182,21526,118.27473,0.12518
12.jpg,201,25757,128.14428,0.14708
12.jpg,264,43415,164.45076,0.24712
13.jpg,358,105041,293.41061,0.20179
13.jpg,119,38373,322.46218,0.22237
13.jpg,107,20241,189.16822,0.11408
13.jpg,133,46415,348.98496,0.27186
14.jpg,763,136764,179.24509,0.26878
14.jpg,212,35094,165.53774,0.20955
14.jpg,235,45469,193.48511,0.27641
14.jpg,317,56169,177.18927,0.31757
15.jpg,315,183461,582.41587,0.36345
15.jpg,81,36004,444.49383,0.24209
15.jpg,106,80475,759.19811,0.44339
15.jpg,128,66895,522.61719,0.38316
16.jpg,221,34596,156.54299,0.06508
16.jpg,81,9697,119.71605,0.05452
16.jpg,59,11693,198.18644,0.06566
16.jpg,81,13217,163.17284,0.07524
17.jpg,228,84081,368.77632,0.15825
17.jpg,70,23800,340.00000,0.13521
17.jpg,75,30904,412.05333,0.17216
17.jpg,84,29369,349.63095,0.16711
18.jpg,255,105441,413.49412,0.19824
18.jpg,90,41450,460.55556,0.23405
18.jpg,84,30835,367.08333,0.17279
18.jpg,82,33244,405.41463,0.18846
19.jpg,216,56797,262.94907,0.10903
19.jpg,63,17336,275.17460,0.09843
19.jpg,70,17472,249.60000,0.10019
19.jpg,83,21946,264.40964,0.12880
20.jpg,286,58558,204.74825,0.11330
20.jpg,99,18775,189.64646,0.11041
20.jpg,76,17446,229.55263,0.10018
20.jpg,111,22337,201.23423,0.12938
21.jpg,364,47379,130.16209,0.09159
21.jpg,112,15130,135.08929,0.08750
21.jpg,118,14560,123.38983,0.08413
21.jpg,134,17666,131.83582,0.10310
22.jpg,109,13970,128.16514,0.02690
22.jpg,37,5233,141.43243,0.03032
22.jpg,32,5046,157.68750,0.02910
22.jpg,40,3677,91.92500,0.02120
23.jpg,143,14446,101.02098,0.02847
23.jpg,50,4380,87.60000,0.02600
23.jpg,48,5660,117.91667,0.03322
23.jpg,45,4385,97.44444,0.02602
24.jpg,150,19175,127.83333,0.03857
24.jpg,47,5750,122.34043,0.03432
24.jpg,52,7440,143.07692,0.04446
24.jpg,50,5921,118.42000,0.03650
25.jpg,66,6655,100.83333,0.01303
25.jpg,25,1974,78.96000,0.01147
25.jpg,27,3307,122.48148,0.01885
25.jpg,14,1273,90.92857,0.00780
26.jpg,38,5982,157.42105,0.01266
26.jpg,16,3372,210.75000,0.02135
26.jpg,10,1492,149.20000,0.00922
26.jpg,12,1118,93.16667,0.00732
27.jpg,42,8163,194.35714,0.01567
27.jpg,11,1896,172.36364,0.01061
27.jpg,18,4661,258.94444,0.02724
27.jpg,13,1606,123.53846,0.00940
28.jpg,49,7683,156.79592,0.01512
28.jpg,18,3059,169.94444,0.01866
28.jpg,14,2174,155.28571,0.01211
28.jpg,17,2450,144.11765,0.01487
29.jpg,139,14395,103.56115,0.02820
29.jpg,52,6393,122.94231,0.03665
29.jpg,39,3531,90.53846,0.02112
29.jpg,48,4471,93.14583,0.02647
30.jpg,67,5997,89.50746,0.01208
30.jpg,16,1254,78.37500,0.00766
30.jpg,18,1835,101.94444,0.01127
30.jpg,33,2908,88.12121,0.01714
31.jpg,66,7229,109.53030,0.01357
31.jpg,24,2331,97.12500,0.01339
31.jpg,17,1935,113.82353,0.01080
31.jpg,24,2907,121.12500,0.01623
32.jpg,128,13282,103.76562,0.02591
32.jpg,48,4981,103.77083,0.03020
32.jpg,43,3664,85.20930,0.02119
32.jpg,37,4607,124.51351,0.02639
33.jpg,49,13147,268.30612,0.02564
33.jpg,13,2016,155.07692,0.01183
33.jpg,15,8656,577.06667,0.05039
33.jpg,21,2475,117.85714,0.01451
34.jpg,51,4226,82.86275,0.00814
34.jpg,16,1660,103.75000,0.00959
34.jpg,19,1287,67.73684,0.00740
34.jpg,16,1279,79.93750,0.00742
35.jpg,168,16539,98.44643,0.03264
35.jpg,50,5982,119.64000,0.03580
35.jpg,53,4241,80.01887,0.02475
35.jpg,65,6316,97.16923,0.03750
36.jpg,63,7867,124.87302,0.01560
36.jpg,18,4004,222.44444,0.02381
36.jpg,19,1720,90.52632,0.01019
36.jpg,26,2143,82.42308,0.01282
37.jpg,92,8421,91.53261,0.01700
37.jpg,29,2804,96.68966,0.01675
37.jpg,25,2441,97.64000,0.01498
37.jpg,38,3154,83.00000,0.01912
38.jpg,91,11456,125.89011,0.02218
38.jpg,33,6068,183.87879,0.03575
38.jpg,20,2410,120.50000,0.01394
38.jpg,38,2978,78.36842,0.01714
39.jpg,43,4901,113.97674,0.00958
39.jpg,6,406,67.66667,0.00237
39.jpg,8,942,117.75000,0.00549
39.jpg,29,3553,122.51724,0.02108
40.jpg,96,9989,104.05208,0.01959
40.jpg,32,3056,95.50000,0.01779
40.jpg,29,3170,109.31034,0.01864
40.jpg,35,3763,107.51429,0.02244
41.jpg,356,85428,239.96629,0.16242
41.jpg,109,25854,237.19266,0.14774
41.jpg,129,34729,269.21705,0.19731
41.jpg,118,24861,210.68644,0.14198
42.jpg,409,135733,331.86553,0.26240
42.jpg,159,47343,297.75472,0.27579
42.jpg,123,47865,389.14634,0.27677
42.jpg,128,40555,316.83594,0.23482
43.jpg,212,34037,160.55189,0.06511
43.jpg,57,9471,166.15789,0.05540
43.jpg,66,9558,144.81818,0.05413
43.jpg,89,15001,168.55056,0.08559
44.jpg,234,38757,165.62821,0.07547
44.jpg,90,12492,138.80000,0.07461
44.jpg,76,12654,166.50000,0.07183
44.jpg,68,13611,200.16176,0.08007
45.jpg,262,49399,188.54580,0.10430
45.jpg,70,14232,203.31429,0.09178
45.jpg,87,15642,179.79310,0.10339
45.jpg,106,19566,184.58491,0.11692
46.jpg,214,35000,163.55140,0.07435
46.jpg,67,10600,158.20896,0.07105
46.jpg,63,11157,177.09524,0.07447
46.jpg,84,13222,157.40476,0.07700
47.jpg,485,117622,242.51959,0.23024
47.jpg,171,31672,185.21637,0.18574
47.jpg,161,48480,301.11801,0.28335
47.jpg,154,37442,243.12987,0.22110
48.jpg,575,133413,232.02261,0.25888
48.jpg,184,41059,223.14674,0.23713
48.jpg,206,59530,288.98058,0.36459
48.jpg,185,32640,176.43243,0.18253
