Slice,Count,Total Area,Average Size,%Area
01.jpg,211,34445,163.24645,0.06706
01.jpg,77,10899,141.54545,0.06213
01.jpg,65,12902,198.49231,0.07283
01.jpg,69,10615,153.84058,0.06594
02.jpg,176,27894,158.48864,0.05119
02.jpg,60,11074,184.56667,0.06159
02.jpg,49,7014,143.14286,0.03787
02.jpg,67,9794,146.17910,0.05445
03.jpg,170,25273,148.66471,0.04800
03.jpg,56,8099,144.62500,0.04549
03.jpg,52,8867,170.51923,0.05022
03.jpg,63,8367,132.80952,0.04862
04.jpg,161,18412,114.36025,0.03524
04.jpg,58,5417,93.39655,0.03186
04.jpg,49,5412,110.44898,0.03056
04.jpg,54,7583,140.42593,0.04331
05.jpg,127,16468,129.66929,0.03221
05.jpg,41,4793,116.90244,0.02834
05.jpg,41,7337,178.95122,0.04280
05.jpg,45,4349,96.64444,0.02548
06.jpg,174,30453,175.01724,0.05856
06.jpg,65,14159,217.83077,0.08203
06.jpg,55,7496,136.29091,0.04297
06.jpg,54,8798,162.92593,0.05090
07.jpg,202,26327,130.33168,0.04963
07.jpg,69,9413,136.42029,0.05370
07.jpg,69,9413,136.42029,0.05305
07.jpg,64,7442,116.28125,0.04189
08.jpg,248,28907,116.56048,0.05387
08.jpg,87,11612,133.47126,0.06487
08.jpg,81,10291,127.04938,0.05680
08.jpg,79,6951,87.98734,0.03940
09.jpg,177,18303,103.40678,0.03386
09.jpg,63,5907,93.76190,0.03231
09.jpg,61,6201,101.65574,0.03426
09.jpg,53,6195,116.88679,0.03501
10.jpg,273,35977,131.78388,0.06853
10.jpg,104,10713,103.00962,0.06087
10.jpg,81,11515,142.16049,0.06576
10.jpg,87,13699,157.45977,0.07891
11.jpg,178,16917,95.03933,0.03334
11.jpg,70,6748,96.40000,0.04046
11.jpg,48,4308,89.75000,0.02527
11.jpg,61,5915,96.96721,0.03477
12.jpg,239,22489,94.09623,0.04406
12.jpg,95,9124,96.04211,0.05440
12.jpg,69,5637,81.69565,0.03276
12.jpg,75,7728,103.04000,0.04535
13.jpg,283,52584,185.80919,0.09987
13.jpg,65,10658,163.96923,0.06366
13.jpg,109,19423,178.19266,0.10803
13.jpg,111,22545,203.10811,0.12569
14.jpg,193,45732,236.95337,0.08758
14.jpg,76,18540,243.94737,0.10420
14.jpg,62,7740,124.83871,0.04278
14.jpg,57,19452,341.26316,0.11917
15.jpg,197,51023,259.00000,0.09724
15.jpg,55,10530,191.45455,0.06123
15.jpg,67,15512,231.52239,0.08762
15.jpg,77,24998,324.64935,0.14232
16.jpg,195,24061,123.38974,0.04474
16.jpg,67,7321,109.26866,0.04109
16.jpg,73,9107,124.75342,0.05009
16.jpg,55,7633,138.78182,0.04290
17.jpg,198,32331,163.28788,0.07808
17.jpg,76,15028,197.73684,0.10798
17.jpg,70,7851,112.15714,0.05677
17.jpg,52,9462,181.96154,0.06924
18.jpg,271,47755,176.21771,0.08949
18.jpg,85,12643,148.74118,0.07117
18.jpg,84,16282,193.83333,0.08940
18.jpg,101,18779,185.93069,0.10807
19.jpg,225,27877,123.89778,0.05437
19.jpg,77,9851,127.93506,0.05723
19.jpg,78,8710,111.66667,0.04993
19.jpg,70,9270,132.42857,0.05578
20.jpg,284,32045,112.83451,0.06045
20.jpg,108,13085,121.15741,0.07450
20.jpg,73,7453,102.09589,0.04060
20.jpg,103,11486,111.51456,0.06721
21.jpg,277,40498,146.20217,0.08041
21.jpg,108,16083,148.91667,0.09614
21.jpg,103,15091,146.51456,0.08572
21.jpg,67,9332,139.28358,0.05819
22.jpg,352,46059,130.84943,0.08709
22.jpg,138,18377,133.16667,0.10343
22.jpg,101,12291,121.69307,0.06843
22.jpg,113,15391,136.20354,0.08964
23.jpg,305,36371,119.24918,0.06855
23.jpg,94,8926,94.95745,0.05133
23.jpg,93,11847,127.38710,0.06637
23.jpg,120,15598,129.98333,0.08756
24.jpg,169,16043,94.92899,0.03044
24.jpg,66,5964,90.36364,0.03318
24.jpg,50,4695,93.90000,0.02794
24.jpg,54,5384,99.70370,0.03004
25.jpg,181,31884,176.15470,0.05834
25.jpg,64,11412,178.31250,0.06315
25.jpg,56,10352,184.85714,0.05650
25.jpg,61,10107,165.68852,0.05537
26.jpg,122,17704,145.11475,0.03449
26.jpg,36,4557,126.58333,0.02688
26.jpg,42,7568,180.19048,0.04349
26.jpg,44,5549,126.11364,0.03267
27.jpg,183,35503,194.00546,0.06794
27.jpg,55,9182,166.94545,0.05236
27.jpg,70,15319,218.84286,0.08688
27.jpg,58,11009,189.81034,0.06444
28.jpg,204,36512,178.98039,0.06928
28.jpg,65,10928,168.12308,0.06232
28.jpg,69,11089,160.71014,0.06294
28.jpg,70,14493,207.04286,0.08257
29.jpg,170,27041,159.06471,0.05033
29.jpg,55,9055,164.63636,0.05074
29.jpg,54,8584,158.96296,0.04753
29.jpg,61,9402,154.13115,0.05277
30.jpg,194,28323,145.99485,0.05231
30.jpg,68,8278,121.73529,0.04646
30.jpg,65,11085,170.53846,0.06095
30.jpg,60,8916,148.60000,0.04916
31.jpg,334,66599,199.39820,0.12538
31.jpg,111,26962,242.90090,0.15438
31.jpg,114,21148,185.50877,0.11880
31.jpg,109,18446,169.22936,0.10344
32.jpg,282,45362,160.85816,0.08503
32.jpg,90,12932,143.68889,0.07364
32.jpg,100,16287,162.87000,0.09096
32.jpg,92,16128,175.30435,0.09026
33.jpg,521,84695,162.56238,0.16689
33.jpg,215,30983,144.10698,0.18416
33.jpg,147,26148,177.87755,0.15402
33.jpg,159,27561,173.33962,0.16268
34.jpg,479,96440,201.33612,0.18528
34.jpg,160,34226,213.91250,0.19907
34.jpg,171,32001,187.14035,0.18234
34.jpg,150,30219,201.46000,0.17471
35.jpg,418,79655,190.56220,0.15170
35.jpg,140,23817,170.12143,0.13568
35.jpg,139,32650,234.89209,0.18445
35.jpg,139,23128,166.38849,0.13391
36.jpg,482,77143,160.04772,0.15411
36.jpg,154,20454,132.81818,0.13362
36.jpg,181,25777,142.41436,0.14967
36.jpg,147,30856,209.90476,0.17607
37.jpg,149,19036,127.75839,0.03469
37.jpg,42,5882,140.04762,0.03315
37.jpg,46,5965,129.67391,0.03237
37.jpg,61,7175,117.62295,0.03838
38.jpg,216,28994,134.23148,0.05543
38.jpg,69,8447,122.42029,0.04981
38.jpg,62,10267,165.59677,0.05803
38.jpg,85,10278,120.91765,0.05827
39.jpg,324,42003,129.63889,0.07745
39.jpg,93,11923,128.20430,0.06574
39.jpg,94,9885,105.15957,0.05449
39.jpg,138,20195,146.34058,0.11251
40.jpg,194,23117,119.15979,0.04427
