num,Label,Area,PArea
1,01.jpg:4704-3738,53415559,0.07746
2,01.jpg:1888-3773,17782726,0.06625
3,01.jpg:4704-3744,17896426,0.09680
4,01.jpg:7520-3714,17742793,0.06919
5,02.jpg:4836-3810,54693582,0.07945
6,02.jpg:1996-3756,17995015,0.09670
7,02.jpg:4836-3792,18362342,0.08046
8,02.jpg:7676-3810,18317969,0.06157
9,03.jpg:4890-3888,52324368,0.05966
10,03.jpg:2070-3844,17275052,0.04348
11,03.jpg:4890-3876,17632950,0.06456
12,03.jpg:7710-3908,17429483,0.07074
13,04.jpg:4626-3684,52528110,0.06321
14,04.jpg:1822-3716,17216417,0.06228
15,04.jpg:4626-3700,17593964,0.06288
16,04.jpg:7430-3684,17707143,0.06452
17,05.jpg:4620-3762,51491964,0.10895
18,05.jpg:1892-3830,16921261,0.10665
19,05.jpg:4620-3768,17261997,0.12359
20,05.jpg:7348-3706,17296939,0.09657
21,06.jpg:4554-3696,51051017,0.08670
22,06.jpg:1790-3716,16880190,0.09342
23,06.jpg:4554-3698,17230584,0.08000
24,06.jpg:7318-3680,16945269,0.08693
25,07.jpg:5202-3780,44323266,0.19737
26,07.jpg:2830-3780,14707426,0.13175
27,07.jpg:5202-3779,15026436,0.22823
28,07.jpg:7574-3782,14597350,0.23163
29,08.jpg:4908-3780,50908503,0.15292
30,08.jpg:2236-3780,17231968,0.14639
31,08.jpg:4908-3752,17060161,0.14818
32,08.jpg:7580-3724,16623637,0.16451
33,09.jpg:4752-3762,51622118,0.17524
34,09.jpg:2032-3762,17328730,0.20159
35,09.jpg:4752-3764,17205627,0.15333
36,09.jpg:7472-3766,17075782,0.17072
37,10.jpg:4854-3846,52827545,0.45878
38,10.jpg:2090-3846,17672847,0.49211
39,10.jpg:4854-3846,17715317,0.46262
40,10.jpg:7618-3846,17448864,0.42098
41,11.jpg:4806-3792,50631342,0.44553
42,11.jpg:2090-3792,17088531,0.35114
43,11.jpg:4806-3801,16966165,0.51041
44,11.jpg:7522-3811,16583949,0.47622
45,12.jpg:4782-3870,51567618,0.32197
46,12.jpg:2058-3906,17213865,0.34443
47,12.jpg:4782-3863,17339223,0.24979
48,12.jpg:7506-3822,17006887,0.37304
49,13.jpg:4734-3888,50783472,0.35046
50,13.jpg:2042-3872,16828890,0.36919
51,13.jpg:4734-3898,17044694,0.32023
52,13.jpg:7426-3924,16917517,0.36242
53,14.jpg:4578-3810,51479709,0.45850
54,14.jpg:1846-3810,17279294,0.43456
55,14.jpg:4578-3804,17265819,0.42112
56,14.jpg:7310-3798,16950011,0.52171
57,15.jpg:4788-3990,51451357,0.61527
58,15.jpg:2012-3990,17022237,0.64277
59,15.jpg:4788-3992,17510189,0.72727
60,15.jpg:7564-3994,16926105,0.47368
61,16.jpg:5088-3726,48568788,0.12165
62,16.jpg:2464-3761,16172432,0.11088
63,16.jpg:5088-3710,16316311,0.11270
64,16.jpg:7712-3658,16086338,0.14142
65,17.jpg:4752-3750,51302743,0.17121
66,17.jpg:2000-3806,17330137,0.19954
67,17.jpg:4752-3714,17173897,0.17355
68,17.jpg:7504-3622,16795609,0.13905
69,18.jpg:4626-3918,48467318,0.24489
70,18.jpg:1830-3920,14406084,0.27849
71,18.jpg:4626-3919,17016060,0.16611
72,18.jpg:7422-3918,17037302,0.29496
73,19.jpg:4818-3642,46625844,0.14227
74,19.jpg:2246-3706,14936619,0.16113
75,19.jpg:4818-3648,15996339,0.12675
76,19.jpg:7390-3611,15689735,0.14022
77,20.jpg:4806-3828,50863684,0.13784
78,20.jpg:2050-3887,16988568,0.13962
79,20.jpg:4806-3831,17203302,0.15986
80,20.jpg:7562-3776,16668462,0.11332
81,21.jpg:4698-3642,53359050,0.13260
82,21.jpg:1886-3670,17857141,0.09444
83,21.jpg:4698-3639,18004677,0.16160
84,21.jpg:7510-3610,17499834,0.14169
85,22.jpg:4740-3690,52847844,0.20536
