Slice,Count,Total Area,Average Size,%Area
01.jpg,18,8835,490.83333,0.01654
01.jpg,4,2544,636.00000,0.01431
01.jpg,9,4389,487.66667,0.02452
01.jpg,5,1902,380.40000,0.01072
02.jpg,10,7269,726.90000,0.01329
02.jpg,5,3385,677.00000,0.01881
02.jpg,4,3164,791.00000,0.01723
02.jpg,1,718,718.00000,0.00392
03.jpg,4,1895,473.75000,0.00362
03.jpg,0,0,NaN,0.00000
03.jpg,2,880,440.00000,0.00499
03.jpg,2,1015,507.50000,0.00582
04.jpg,6,2744,457.33333,0.00522
04.jpg,2,1164,582.00000,0.00676
04.jpg,1,316,316.00000,0.00180
04.jpg,3,1264,421.33333,0.00714
05.jpg,30,15223,507.43333,0.02956
05.jpg,9,5033,559.22222,0.02974
05.jpg,14,6707,479.07143,0.03885
05.jpg,7,3466,495.14286,0.02004
06.jpg,26,12425,477.88462,0.02434
06.jpg,10,4177,417.70000,0.02474
06.jpg,5,2237,447.40000,0.01298
06.jpg,11,6037,548.81818,0.03563
07.jpg,70,54978,785.40000,0.12404
07.jpg,15,10139,675.93333,0.06894
07.jpg,26,20938,805.30769,0.13934
07.jpg,29,23901,824.17241,0.16374
08.jpg,42,31403,747.69048,0.06169
08.jpg,16,10820,676.25000,0.06279
08.jpg,15,11878,791.86667,0.06962
08.jpg,11,8705,791.36364,0.05237
09.jpg,62,44042,710.35484,0.08532
09.jpg,20,17338,866.90000,0.10005
09.jpg,20,11449,572.45000,0.06654
09.jpg,22,15014,682.45455,0.08793
10.jpg,152,159854,1051.67105,0.30260
10.jpg,49,55890,1140.61224,0.31625
10.jpg,54,56651,1049.09259,0.31979
10.jpg,52,47099,905.75000,0.26993
11.jpg,130,146583,1127.56154,0.28951
11.jpg,30,41197,1373.23333,0.24108
11.jpg,44,56441,1282.75000,0.33267
11.jpg,56,48757,870.66071,0.29400
12.jpg,95,98222,1033.91579,0.19047
12.jpg,36,36225,1006.25000,0.21044
