Sample,mAir,mAc1,mAc2,mAc3
0,0.001225,0.795064,0.794304,0.794304
1,1.525,1.0717,1.0729,1.0718
2,1.5337,1.0769,1.0786,1.08
3,1.541,1.0826,1.0832,1.0834
4,1.5474,1.0895,1.0884,1.0893
5,1.5567,1.0942,1.0953,1.0963
6,1.562,1.0987,1.0994,1.0993
7,1.5553,1.094,1.0945,1.0949
8,1.53,1.076,1.0761,1.076
9,1.5424,1.0842,1.0849,1.0857
10,1.5335,1.0775,1.0783,1.078
11,1.5478,1.0891,1.0881,1.089
12,1.5537,1.0918,1.0931,1.0933
13,1.5475,1.0876,1.0861,1.0866
14,1.554,1.0903,1.0914,1.0917
15,1.4967,1.0498,1.0495,1.0505
16,1.5307,1.0765,1.0769,1.0769
17,1.5409,1.0843,1.0828,1.0833
18,1.5476,1.0872,1.0878,1.0875
19,1.5471,1.0878,1.088,1.0881
20,1.5529,1.092,1.0924,1.0928
21,1.5671,1.1015,1.1023,1.1024
22,1.5156,1.0652,1.066,1.0651
23,1.5308,1.0754,1.0765,1.0756
24,1.5327,1.0783,1.078,1.078
25,1.5312,1.0773,1.0775,1.0788
26,1.5367,1.0814,1.0813,1.08
27,1.5491,1.0888,1.0896,1.0897
28,1.5485,1.0903,1.0891,1.0904
29,1.5168,1.0678,1.0672,1.0672
30,1.5275,1.076,1.0753,1.0745
31,1.5227,1.0718,1.0726,1.0723
32,1.5354,1.0815,1.079,1.0812
33,1.5408,1.0825,1.083,1.0842
34,1.5331,1.0793,1.0785,1.0762
35,1.5375,1.0813,1.0829,1.0822
36,1.5149,1.0661,1.0664,1.0669
37,1.5302,1.0773,1.0769,1.0773
38,1.5375,1.0821,1.0823,1.082
39,1.5432,1.086,1.0866,1.0857
40,1.5453,1.087,1.0876,1.0869
41,1.5484,1.0891,1.0895,1.09
42,1.5537,1.093,1.0925,1.0927
43,1.5186,1.0691,1.0689,1.0691
44,1.5267,1.0739,1.0743,1.0744
45,1.5354,1.08,1.0807,1.0804
46,1.5382,1.0829,1.0821,1.0827
47,1.537,1.0802,1.0815,1.0814
48,1.5441,1.0859,1.0862,1.0863
49,1.548,1.0891,1.0889,1.0888
50,1.5064,1.0605,1.0615,1.0596
