Cube,Power,Hatch,Speed,Layer,Energy,Comment
1,330,0.2,1000,0.03,55.00,
2,345,0.2,1000,0.03,57.50,
3,360,0.2,1000,0.03,60.00,
4,330,0.2,1100,0.03,50.00,
5,345,0.2,1100,0.03,52.27,
6,360,0.2,1100,0.03,54.55,
7,330,0.2,1200,0.03,45.83,
8,345,0.2,1200,0.03,47.92,
9,360,0.2,1200,0.03,50.00,
10,330,0.2,1300,0.03,42.31,
11,345,0.2,1300,0.03,44.23,
12,360,0.2,1300,0.03,46.15,
13,340,0.25,800,0.03,56.67,
14,355,0.25,800,0.03,59.17,
15,370,0.25,800,0.03,61.67,
16,340,0.25,900,0.03,50.37,
17,355,0.25,900,0.03,52.59,
18,370,0.25,900,0.03,54.81,
19,340,0.25,1000,0.03,45.33,
20,355,0.25,1000,0.03,47.33,
21,370,0.25,1000,0.03,49.33,
22,340,0.25,1100,0.03,41.21,
23,355,0.25,1100,0.03,43.03,
24,370,0.25,1100,0.03,44.85,
25,300,0.15,1200,0.03,55.56,
26,315,0.15,1200,0.03,58.33,
27,330,0.15,1200,0.03,61.11,
28,300,0.15,1300,0.03,51.28,
29,315,0.15,1300,0.03,53.85,
30,330,0.15,1300,0.03,56.41,
31,300,0.15,1400,0.03,47.62,
32,315,0.15,1400,0.03,50.00,
33,330,0.15,1400,0.03,52.38,
34,300,0.15,1500,0.03,44.44,
35,315,0.15,1500,0.03,46.67,
36,330,0.15,1500,0.03,48.89,
37,370,0.16,1200,0.03,64.24,
38,370,0.16,1300,0.03,59.29,
39,370,0.16,1400,0.03,55.06,PTW
40,370,0.16,1500,0.03,51.39,
41,370,0.16,1600,0.03,48.18,
42,370,0.16,1700,0.03,45.34,
43,370,0.14,1400,0.03,62.93,
44,370,0.15,1400,0.03,58.73,
45,370,0.16,1400,0.03,55.06,PTW
46,370,0.17,1400,0.03,51.82,
47,370,0.18,1400,0.03,48.94,
48,370,0.19,1400,0.03,46.37,
49,370,0.16,1400,0.03,55.06,PTW
50,370,0.16,1400,0.03,55.06,PTW
