cube,PI445,PI446,PI447,PI448,PI449,PI450,PI458
4,"0,1517","0,0775","0,0684","0,0793","0,0454","0,142","0,0285"
4,"0,0511","0,1008","0,0706","0,057","0,1274","0,0741","0,1052"
4,"0,0521","0,0459","0,0453","0,0712","0,0646","0,0648","0,0515"
7,"0,1015","0,1066","0,2314","0,2156","0,1157","0,1407","0,0721"
7,"0,0718","0,1107","0,083","0,1446","0,1258","0,1223","0,0937"
7,"0,166","0,0761","0,0391","0,0461","0,1156","0,0718","0,0706"
8,"0,1012","0,09","0,058","0,055","0,1568","0,0799","0,0245"
8,"0,1257","0,1221","0,0793","0,0458","0,0572","0,0894","0,09"
8,"0,0807","0,0686","0,0394","0,0516","0,0456","0,0656","0,1571"
9,"0,0686","0,0285","0,0489","0,0801","0,059","0,1139","0,0989"
9,"0,1025","0,0767","0,1043","0,1153","0,0742","0,0652","0,078"
9,"0,0674","0,0554","0,0782","0,132","0,0664","0,0692","0,0539"
10,"0,0734","0,1536","0,1392","0,1884","0,2038","0,1991","0,0482"
10,"0,0918","0,1752","0,0923","0,0854","0,1338","0,1253","0,1349"
10,"0,0986","0,0616","0,0319","0,0348","0,1267","0,0425","0,0747"
12,"0,1341","0,1172","0,1321","0,127","0,1788","0,129","0,088"
12,"0,0973","0,1283","0,1517","0,0888","0,0545","0,0835","0,0508"
12,"0,0758","0,0582","0,0809","0,0764","0,069","0,0925","0,0765"
13,"0,1298","0,0825","0,1357","0,1166","0,1504","0,0841","0,0628"
13,"0,0905","0,1428","0,0885","0,118","0,0748","0,116","0,0791"
13,"0,0601","0,0288","0,0716","0,0779","0,0664","0,0685","0,1099"
16,"0,0917","0,1294","0,0707","0,1073","0,1132","0,0996","0,3575"
16,"0,0975","0,0728","0,1022","0,0842","0,072","0,0434","0,0498"
16,"0,0667","0,0386","0,0504","0,1286","0,1065","0,0617","0,0503"
19,"0,1103","0,1087","0,0404","0,0814","0,1452","0,0886","0,0765"
19,"0,1091","0,1","0,059","0,0919","0,0883","0,0748","0,1017"
19,"0,0652","0,0462","0,0407","0,0587","0,058","0,0662","0,0831"
20,"0,2709","0,0956","0,1003","0,0453","0,1025","0,1722","0,0163"
20,"0,1402","0,1248","0,086","0,1227","0,0979","0,1502","0,1021"
20,"0,0781","0,0684","0,0853","0,0563","0,0676","0,0912","0,1016"
21,"0,2059","0,0727","0,0382","0,0874","0,0585","0,1549","0,0499"
21,"0,1012","0,103","0,0479","0,0892","0,0676","0,1048","0,1138"
21,"0,1081","0,0485",,"0,1528",,"0,077","0,0423"
22,"0,1566","0,0625","0,1148","0,183","0,0591","0,133","0,034"
22,"0,1045","0,1195","0,1208","0,1021","0,1806","0,1247","0,0942"
22,"0,1112","0,0836","0,2219","0,095","0,1283","0,3375","0,1573"
23,"0,2154","0,1737","0,1213","0,2783","0,0879","0,2173","0,1569"
23,"0,0683","0,1753","0,0724","0,1155","0,1066","0,1449","0,0845"
23,"0,1806","0,0644","0,039","0,0411","0,1013","0,054","0,066"
24,"0,1209","0,1217","0,0785","0,0996","0,0954","0,1463","0,0819"
24,"0,1296","0,1634","0,0873","0,0778","0,0748","0,0924","0,1417"
24,"0,0547","0,0627","0,0417","0,1407","0,0667","0,0909","0,1442"
28,"0,1501","0,1131","0,0423","0,2101","0,1669","0,242","0,2925"
28,"0,1699","0,1947","0,1251","0,1183","0,1646","0,067","0,1683"
28,"0,0897","0,0604","0,0578","0,0762","0,066","0,0624","0,1231"
29,"0,1153","0,1001","0,0592","0,1364","0,0568","0,1235","0,0491"
29,"0,0389","0,0833","0,0446","0,0457","0,0892","0,0676","0,1415"
29,"0,0647","0,0463","0,0531","0,0495","0,06","0,0627","0,0372"
30,"0,0547","0,0765","0,0599","0,0581","0,0869","0,0962","0,0749"
30,"0,104","0,1267","0,0571","0,0952","0,0693","0,2611","0,0742"
30,"0,0863","0,0523",,"0,176",,"0,0984","0,0319"
31,"0,111","0,1235","0,0624","0,0612","0,0626","0,1102","0,0506"
31,"0,0681","0,1596","0,0813","0,0526","0,0605","0,128","0,117"
31,"0,1568","0,0809","0,0359","0,0745","0,0558","0,1079","0,1793"
32,"0,1239","0,0717","0,0512","0,0328","0,0796","0,1358","0,0579"
32,"0,0723","0,1342","0,0556","0,0792","0,0546","0,1313","0,0699"
32,"0,0887","0,0803",,"0,1155",,"0,0588","0,0518"
35,"0,1107","0,0949","0,0924","0,093","0,0676","0,1132","0,1565"
35,"0,1045","0,1216","0,0779","0,0823","0,09","0,0948","0,1618"
35,"0,0804","0,0459","0,0505","0,0532","0,0537","0,0623","0,0724"
36,"0,1635","0,0544","0,0872","0,109","0,0919","0,1427","0,0364"
36,"0,1004","0,1195","0,1201","0,1329","0,1447","0,1407","0,131"
36,"0,0909","0,0899","0,1999","0,2494","0,1118","0,0717","0,0971"
39,"0,108","0,0775","0,0897","0,187","0,1702","0,1226","0,1951"
39,"0,1635","0,2382","0,1863","0,5717","0,2515","0,2301","0,1253"
39,"0,104","0,1782","0,1149","0,4597","0,1437","0,2027","0,1546"
40,"0,1148","0,0982","0,0606","0,1174","0,1604","0,0594","0,0997"
40,"0,1435","0,0633","0,1123","0,1076","0,0548","0,1034","0,1273"
40,"0,0804","0,0775","0,0437","0,1116","0,169","0,0571","0,0348"
44,"0,0922","0,1706","0,128","0,1411","0,1416","0,1175","0,0633"
44,"0,0747","0,0925","0,073","0,0935","0,061","0,1249","0,098"
44,"0,0606","0,0418","0,0698","0,0554","0,0561","0,0584","0,0645"
45,"0,1654","0,0662","0,0347","0,1026","0,0767","0,1279","0,046"
45,"0,0612","0,1403","0,0933","0,0452","0,2294","0,1062","0,1457"
45,"0,0451","0,0596","0,0522","0,0967","0,064","0,0574","0,0538"
48,"0,1848","0,2643","0,1968","0,069","0,1807","0,1807","0,2763"
48,"0,2491","0,202","0,3267","0,2539","0,2029","0,263","0,1832"
48,"0,2204","0,2356","0,1939","0,2729","0,2262","0,1769","0,1983"
49,"0,2137","0,2144","0,2131","0,1760","0,4316","0,084","0,2175"
49,"0,1662","0,289","0,4491","0,2539","0,3425","0,2935","0,1825"
49,"0,2159","0,2793","0,2335","0,3536","0,288","0,2654","0,229"
50,"0,1802","0,2998","0,2781","0,3489","0,6641","0,184","0,3778"
50,"0,2706","0,28","0,5692","1,2943","0,3260","0,3977","0,2197"
50,"0,3359","0,2236","0,2382","0,5042","0,3197","0,2522","0,4857"
